Unnamed: 0,country,description,points,price,province,taster_name,title,variety,winery
6361,US,"A tiny-production wine that is exuberantly brambly and wild, this has a bouquet of juicy black and red berries at its core. Balanced and elegant despite the generous palate, it has softened tannins and a thickness toward the finish. offering accents of black pepper and brown sugar.",93,35.0,California,Virginie Boone,Sequum 2012 Riverwash Zinfandel (Dry Creek Valley),Zinfandel,Sequum
6364,Italy,"This wine opens with a lovely fragrance of violet, iris, wild berry, licorice and a whiff of leather. The smooth palate doles out ripe wild cherry, cinnamon, clove, white pepper, tobacco and anise. It's impeccably balanced, with glossy tannins and fresh acidity. Already drinking beautifully, it will also age well for several years.",93,55.0,Piedmont,Kerin O’Keefe,Albino Rocca 2012 Ovello Vigna Loreto  (Barbaresco),Nebbiolo,Albino Rocca
6365,US,"This shows a combination of deep fruit flavors and a firm, tight-grained texture that make it classic in style. Black cherry and black currant flavors are wonderfully accented by impressions of pine forest and dried mushrooms. Baxter matured this wine in 100% neutral French oak barrels, so the taste is all about the Langley grapes and not new oak.",93,48.0,California,Jim Gordon,Baxter 2012 Langley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Baxter
6366,US,"There's a warm peach ripeness on the nose of this wine from a tiny appellation north of Santa Cruz near Bonny Doon, along with aromas of kumquat, vanilla bean and sea salt. The palate shows more peach, caramelized apples and saffron, cut with a lime-juice acidity and finishing with a dollop of vanilla-butter.",93,50.0,California,Matt Kettmann,Beauregard 2013 Beaureagard Ranch Chardonnay (Ben Lomond Mountain),Chardonnay,Beauregard
6367,Argentina,"This is Renacer's first Cabernet Franc, and it's excellent. Light herb notes, fine wood and deep black-fruit aromas make for a superb entry. The palate is loaded with power, but a touch of bold tartaric acidity does stick out. Black cherry, kirsch, mocha and chocolate flavors finish amid a lush mix of chocolaty oak, related spices and deliciousness. Drink through 2021.",93,65.0,Mendoza Province,Michael Schachner,Bodega Renacer 2011 Punto Final Gran Edición Limitada Cabernet Franc (Mendoza),Cabernet Franc,Bodega Renacer
6368,Italy,"This takes a few minutes to open up in the glass before revealing alluring classic Nebbiolo scents of wild red berry, sweet cake spice and a balsamic note. The palate is spot on; delivering juicy raspberry, wild cherry, black tea, ground pepper, cinnamon, chopped herb and a hint of pipe tobacco. Firm, glossy tannins and bright acidity give it an elegant structure.",93,35.0,Piedmont,Kerin O’Keefe,Castello di Neive 2012  Barbaresco,Nebbiolo,Castello di Neive
6369,Italy,"This offers typical Nebbiolo aromas of dark red berry, blue flower, truffle and a whiff of game along with a balsamic note. The young palate is still tight but shows dried black cherry, clove, black pepper and tobacco while firm, fine-grained give it a solid grip. Chopped mint closes the finish.",93,85.0,Piedmont,Kerin O’Keefe,Cavalier Bartolomeo 2011 Altenasso  (Barolo),Nebbiolo,Cavalier Bartolomeo
6370,US,"Savory notes are at the fore on this wine, with aromas of saline, dried herbs, earth, stems and flowers. The coffee and earth flavors are sumptuous in feel with an extended finish.",93,65.0,Oregon,Sean P. Sullivan,Delmas 2013 SJR Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Delmas
6373,Australia,"This is another top-flight example of how good the 2012 vintage was for South Australian Shiraz. The oak here is so subtle as to not factor into the wine's scents of raspberry and cracked pepper. Hints of spice and vanilla mark the palate, gently accenting red berry fruit before ending in a flood of silky tannins. Drink now–2030.",93,40.0,South Australia,Joe Czerwinski,John Duval Wines 2012 Entity Shiraz (Barossa),Shiraz,John Duval Wines
6374,Portugal,"The second wine from Duorum, the brand created by João Portugal Ramos and José Soares Franco in 2007, this is ripe with tannin, black fruit and juicy acidity. Drink from 2018.",87,11.0,Douro,Roger Voss,Duorum 2015 Tons de Duorum Red (Douro),Portuguese Red,Duorum
6375,Italy,"A blend of Merlot, Corvina and Sangiovese, this opens with aromas of dark berry and a hint of cooking spice. The straightforward palate presents crushed black plum and clove alongside round tannins. Enjoy soon.",87,17.0,Veneto,Kerin O’Keefe,Famiglia Cielo 2015 Appassionatamente Rosso Red (Veneto),Red Blend,Famiglia Cielo
6376,South Africa,"Clean and pure, this is a bright and easy-drinking expression. Notes of white melon, pear, key lime and honeysuckle grace the bouquet and palate. Zesty citrus flavors coupled with medium acidity lend an attractive freshness through the close. Drink now.",87,11.0,South Africa,Lauren Buzzeo,Fleur Du Cap 2016 Bergkelder Selection Chenin Blanc (South Africa),Chenin Blanc,Fleur Du Cap
6377,France,"Full and ripe, this is a rich wine. Its tannins are well cushioned by the ripe black fruits and generous texture. Fruity with balanced acidity, the wine is spicy and with an open aftertaste. Drink now.",87,12.0,Southwest France,Roger Voss,Georges Vigouroux 2015 Gouleyant Malbec (Cahors),Malbec,Georges Vigouroux
6378,US,"Slate, raspberry and black plum aromas mark the nose of this blend of 39% Grenache, 38% Syrah, 13% Mourvèdre and 10% Petite Sirah. Pronounced gravel-like minerality leads the palate, which frames cranberry fruit with grippy tannins.",87,32.0,California,Matt Kettmann,Hawk Watch Winery 2013 Cold Fusion Red (South Coast),Rhône-style Red Blend,Hawk Watch Winery
6379,Argentina,"Inky in color, with exotic, gaseous and balsamic aromas of black fruits and iodine, this biodynamic Malbec-Syrah blend is funky, jumpy, tartatic and jumbled on the palate. Stew, somewhat sour and earthy berry flavors finish scratchy but with length and energy.",87,23.0,Mendoza Province,Michael Schachner,Tikal 2014 Certified Biodynamic Malbec-Syrah (Mendoza),Malbec-Syrah,Tikal
6380,South Africa,"Aromas of orange, pineapple and guava are ripe but bright on the nose of this fresh white. Flavors of green plum and apple skin lend verve to the medium-weight mouthfeel, in addition to cleansing acidity that enlivens the finish. Drink now.",87,12.0,Western Cape,Lauren Buzzeo,Tussock Jumper 2015 Chenin Blanc (Western Cape),Chenin Blanc,Tussock Jumper
6381,US,"This is a smooth-textured, medium-bodied wine that opens with brown sugar and maple aromas, leads to ripe cherry and blackberry flavors and finishes with a hint of sweetness.",86,13.0,California,Jim Gordon,Kitchen Sink NV Red (California),Red Blend,Kitchen Sink
6382,US,"This wine is dry and substantial, emphasizing earthy, savory flavors over fruity ones. An attractive walnut and almond element carries through from the aroma to the flavors.",86,13.0,California,Jim Gordon,Kitchen Sink NV White (California),White Blend,Kitchen Sink
6383,US,"This is from a hillside estate vineyard and is entirely barrel fermented, its oak subtle and supportive. Medium bodied and not overripe, it offers honeysuckle aromas and lime and lemon rind flavors.",86,45.0,California,Virginie Boone,Kuleto Estate 2014 Homestead Block Chardonnay (Napa Valley),Chardonnay,Kuleto Estate
6384,Portugal,"This wine is produced from two of the quintas owned by Ramos-Pinto. It's fruity and crisp, packed with bright fruit and lively acidity, and finishes on tangy citrus with a riper, creamy texture. Drink from late 2017.",86,12.0,Douro,Roger Voss,Ramos-Pinto 2015 Duas Quintas Branco White (Douro),Portuguese White,Ramos-Pinto
6385,US,"This wine is a blend of Cabernet Sauvignon, Merlot, Pinot Noir and Syrah. Aromas of green wood mixed with tire rubber, red currant, strawberry and spice. It delivers red and black-fruit flavors that linger on the finish.",86,14.0,Washington,Sean P. Sullivan,Castle Rock 2014 Cuvée Red (Columbia Valley (WA)),Red Blend,Castle Rock
6386,Portugal,"This wine from the mountain vineyards of eastern Portugal is rich, fruity and made to be drunk young. With soft tannins and juicy red berry fruit, it's open and ripe. Drink now.",86,10.0,Beira Interior,Roger Voss,Companhia das Quintas 2014 Barão de Figueira Red (Beira Interior),Portuguese Red,Companhia das Quintas
6387,Italy,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse.",86,22.0,Veneto,Kerin O’Keefe,De Stefani 2015 Nature  (Prosecco),Glera,De Stefani
6388,France,"The warm 2015 vintage has softened and rounded this 100% Sauvignon Blanc wine. That gives the wine ripe fruits, touches of pineapple as well as white peach. With attractive acidity at the end, the wine is still crisp and young. Drink now.",86,12.0,Southwest France,Roger Voss,Domaine de Grange Neuve 2015 La Fleur Lily Sauvignon Blanc (Bergerac Sec),Sauvignon Blanc,Domaine de Grange Neuve
6389,Portugal,"This is an attractive, soft blend of Arinto, Viosinho and Antão Vaz. With white fruit flavors and a warm, ripe texture, it's crisp, fruity and ready to drink.",86,18.0,Alentejano,Roger Voss,Dona Maria-Júlio Bastos 2015 White (Alentejano),Portuguese White,Dona Maria-Júlio Bastos
6390,Portugal,"This wine is full of red berry flavor and soft tannins. With its forward fruit and smooth texture, it's made to be drunk young, so drink now.",86,10.0,Tejo,Roger Voss,Falua 2015 Conde Vimioso Colheita Seleccionada Red (Tejo),Portuguese Red,Falua
6391,France,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",86,15.0,Southwest France,Roger Voss,Georges Vigouroux 2015 Pigmentum Merlot-Malbec (Buzet),Merlot-Malbec,Georges Vigouroux
6392,US,"Strong wood smoke and grilled meat aromas lead to equally assertive oak and dried herb flavors, giving this wine extreme personality. It has medium body and rather soft tannins and texture to balance.",86,12.0,California,Jim Gordon,Ironstone 2015 Cabernet Franc (Lodi),Cabernet Franc,Ironstone
6393,US,"Quite savory in style, this dry full-bodied Riesling suggests pressed apple and pear flavors marked by brisk slightly puckering acidity. A touch of sweet spice warms a moderately long finish.",86,25.0,New York,Anna Lee C. Iijima,Jamesport 2013 Estate Riesling (North Fork of Long Island),Riesling,Jamesport
6394,Argentina,Earthy rubbery berry aromas suggest pencil eraser and rubber. This Malbec-Syrah blend feels chunky and on the heavy side. Baked blackberry and chocolate flavors finish stewy and wayward.,86,13.0,Mendoza Province,Michael Schachner,Mauricio Lorca 2014 MIO Malbec-Syrah (Mendoza),Malbec-Syrah,Mauricio Lorca
6395,South Africa,"A hint of lightly toasted brioche adds depth to the red apple and honeydew fruit aromas and flavors. The mouthfeel is surprisingly round, fleshed out by the rich fruit flavors, but then picks up some verve on the lightly bitter, pithy finish. Drink now.",86,12.0,Western Cape,Lauren Buzzeo,Ngumu 2015 Chenin Blanc (Western Cape),Chenin Blanc,Ngumu
6396,Argentina,"Gritty aromas of herbal berry fruits and coffee grounds lead to a hard tannic, compact palate with loud acidity. Disparate flavors of burnt coffee, tomato and stewed plum finish with scraping tannins and herbal notes that reflect the nose and palate.",86,39.0,Other,Michael Schachner,Bodega Las Cañitas 2009 Familia Navarro Torrre Grand Gold Medal Malbec-Cabernet Sauvignon (Argentina),Malbec-Cabernet Sauvignon,Bodega Las Cañitas
6397,Italy,"Aromas of green apple, Bartlett pear, citrus and sage lead into the lightly sparkling palate. Fresh acidity lifts the rich flavors.",86,28.0,Veneto,Kerin O’Keefe,Valdo NV Cuvée Viviana  (Valdobbiadene Superiore di Cartizze),Glera,Valdo
6398,Argentina,"This copper-tinted rosé of Pinot Noir smells like a rubber gym ball and citrus fruits. A full round bouncy palate brings it around, while dry citrus and stone-fruit flavors show a skins-like quality on a steady finish.",86,12.0,Mendoza Province,Michael Schachner,Zorzal 2016 Terroir Único Pinot Noir Rosé (Tupungato),Rosé,Zorzal
6399,Portugal,"This broad, fruity wine brings out ripe berry flavors in spades. It has generous fruit, soft tannins and a smooth, open texture. Drink now.",86,7.0,Alentejano,Roger Voss,Adega Cooperativa de Borba 2015 Convento da Vila Red (Alentejano),Portuguese Red,Adega Cooperativa de Borba
6400,Portugal,"The local Baga grape, better known for producing structured red wines, also lends itself to fruity sparkling rosé. Bright acidity gives this crisp wine its tangy, red currant character. Drink now.",86,12.0,Beira Atlantico,Roger Voss,Adega de Cantanhede NV Marquês de Marialva Rosé Bruto Baga (Beira Atlantico),Baga,Adega de Cantanhede
6401,US,"A substantial dose of fruit and good, grippy texture make this hearty wine ready for any protein dishes. It has full body, tasty black cherry and plum flavors and moderate tannins that lend structure.",86,18.0,California,Jim Gordon,Angeline 2015 Reserve Pinot Noir (Mendocino County),Pinot Noir,Angeline
6402,US,"Contrary to its name, this isn't exactly a 100-point wine, but it is ripe and full-flavored. Smooth on the palate and almost soft in texture, it's medium-bodied and very drinkable.",86,50.0,California,Jim Gordon,Greenwood Ridge 2013 Hundred Point Cabernet Sauvignon (Mendocino Ridge),Cabernet Sauvignon,Greenwood Ridge
6403,South Africa,"This easy-to-like wine is loaded with forward citrus tones alongside additional scents of gooseberry and fresh grass. The lightweight mouthfeel gets a little lazy on the midpalate, but bright citrus flavors and ample acidity help to keep the finish fresh and lively. Drink now.",86,12.0,Western Cape,Lauren Buzzeo,Indaba 2015 Sauvignon Blanc (Western Cape),Sauvignon Blanc,Indaba
6407,Austria,"A fruity wine that is packed with red cherry and juicy plums. On top of the fruitiness, however, the acidity is prominent, which means it needs time to fill out, leaving a smoky, leathery textured aftertaste. Glass stopper.",85,22.0,Burgenland,Roger Voss,Gernot and Heike Heinrich 2007 Zweigelt (Burgenland),Zweigelt,Gernot and Heike Heinrich
6408,Austria,"A sweet, toffee-flavored wine, the super-rich Riesling bringing some good acidity into the mix of intense concentration and ultra-sweet honey. The flavors are edging over the top—a little here goes a long way.",85,25.0,Burgenland,Roger Voss,Hafner 2002 Essencia Kosher Trockenbeerenauslese Riesling (Burgenland),Riesling,Hafner
6412,New Zealand,"Perhaps this is starting to tire? There's a slightly waxy dullness to the wine's otherwise interesting citrus aromas, while the flavors of lemon and white grapefruit are pleasant without being captivating. Drink up.",85,17.0,Hawke's Bay,Joe Czerwinski,Stone Paddock 2007 Sauvignon Blanc (Hawke's Bay),Sauvignon Blanc,Stone Paddock
6413,South Africa,"This wine gives a big, ripe nose and flavors of apricot, honey and melon, with balanced fruit and acid and a clean but rounded character. Full bodied and complex with a lingering finish.",85,10.0,Western Cape,Susan Kostrzewa,Blue Cove 2007 Viognier (Western Cape),Viognier,Blue Cove
6414,New Zealand,"This light- to medium-bodied Sauvignon Blanc appears to aim at a minerally style, marrying hints of green (veggies?) with otherwise pleasant citrusy aromas and flavors. Grapefruit and anise make an appearance on the finish. Drink up.",85,15.0,Marlborough,Joe Czerwinski,Cairnbrae 2007 The Stones Sauvignon Blanc (Marlborough),Sauvignon Blanc,Cairnbrae
6417,France,"A fresh and lively Chardonnay with flavors of pear, lemon and apple core. The medium weight mouthfeel comes off a bit sharp and prickly but closes crisp and clean.",85,17.0,Languedoc-Roussillon,Lauren Buzzeo,Domaines Barons de Rothschild (Lafite) 2007 Aussières Blanc Chardonnay (Vin de Pays d'Oc),Chardonnay,Domaines Barons de Rothschild (Lafite)
6418,South Africa,"This unoaked white offers rounded tropical fruit aromas and flavors like pineapple, melon and pear. The style is straightforward and exuberant, with balanced acidity and a fruity, lush finish. Keep on the table for everyday enjoyment.",85,10.0,Western Cape,Susan Kostrzewa,Fairvalley 2008 Chenin Blanc (Western Cape),Chenin Blanc,Fairvalley
6419,South Africa,"An elegant white with a nose that combines zippy citrus, minerals and a touch of guava. The palate offers clean and spritzy character with a wave of rounding tropical fruit and a spin of spice. Pair with spicy food—think Indian or Thai.",85,10.0,Western Cape,Susan Kostrzewa,Fleur Du Cap 2008 Sauvignon Blanc (Western Cape),Sauvignon Blanc,Fleur Du Cap
6422,US,"Oddly, Silver Lake's least expensive Merlot is its best. It's a solidly made, straight-ahead varietal wine, with a core of black olive and currant, stiff tannins and enough grip to hold up to hearty main meat dishes.",85,12.0,Washington,Paul Gregutt,Silver Lake 2006 Merlot (Rattlesnake Hills),Merlot,Silver Lake
6423,France,"A complex wine, exhibiting smoky tannins, rich fruit, a dark texture and concentration. Produced by the Moueix winemaking team, it feels complete with its sense of style and elegance as well as weight. Give this powerful wine many years in the cellar.",96,475.0,Bordeaux,Roger Voss,Château Trotanoy 2010  Pomerol,Bordeaux-style Red Blend,Château Trotanoy
6426,France,"A blend of 66% Pinot Noir and 34% Chardonnay, this is opulent and full bodied, with toast and wood flavors. Rich and ripe, this beautiful wine is generous and still young, with just a touch of bitterness at the end.",96,155.0,Champagne,Roger Voss,Bollinger 2004 La Grande Année Brut  (Champagne),Champagne Blend,Bollinger
6428,France,"This is a great wine with its swathes of ripe fruit allied to a very structured character. It is concentrated with complex flavors that bring in wood, tropical fruits, apricots and a dense texture. Combined, these elements give the wine great style and aging potential.",96,132.0,Bordeaux,Roger Voss,Domaine de Chevalier 2010  Pessac-Léognan,Bordeaux-style White Blend,Domaine de Chevalier
6429,France,"This is a perfumed wine, dominated by Cabernet Franc. Black fruits are layered with wood, dry tannins and a beautiful aromatic quality. The wine is deep and complex, built for the long term with its power, density and considerable elegance.",95,235.0,Bordeaux,Roger Voss,Le Dôme 2010  Saint-Émilion,Bordeaux-style Red Blend,Le Dôme
6437,Spain,"This Toro wine is a mindblower. The nose is exemplary: it bursts with smooth, rooty aromas of licorice, kirsch and roasted black plum. The palate is huge and tannic but luxurious, and the flavors of tobacco, cedar, lemon peel, spice and black fruit set up a finish with espresso, black cherry and a wall of tannins. Drink now through 2018.",95,200.0,Northern Spain,Michael Schachner,Numanthia 2009 Termanthia  (Toro),Tinta de Toro,Numanthia
6438,France,"This wine is sourced from two parcels, one planted in the 1930s and the other in the 1950s. The low dosage is possible because of the concentration and ripeness of the fruit, resulting in a sophisticated, balanced and rich wine with a lemon zest flavor, a tight, mineral texture, and a crisp finish.",95,90.0,Champagne,Roger Voss,Larmandier-Bernier 2006 Vieilles Vignes de Cramant Grand Cru Chardonnay (Champagne),Chardonnay,Larmandier-Bernier
6440,France,"A big, complex wine from this continually improving property, this is now performing at its classed-growth level with concentrated ripe berry fruits and chocolate flavors. The wood aging is still showing through and needs time to integrate better, but as it does, this will be a great wine.",95,375.0,Bordeaux,Roger Voss,Château Bélair-Monange 2010  Saint-Émilion,Bordeaux-style Red Blend,Château Bélair-Monange
6441,France,"A powerful and complex wine from an estate performing on its top form. Solid tannins, layers of wood and dark fruits combine to give a wine that offers both richness and a dense structure. This Haut-Bailly should age impressively and for many years.",95,160.0,Bordeaux,Roger Voss,Château Haut-Bailly 2010  Pessac-Léognan,Bordeaux-style Red Blend,Château Haut-Bailly
6442,France,"A majestic wine, grand in every sense. It has weight, the firmest of tannins and an immense sense of structure. This neighbor of Château Pétrus is firmly dense, showing both the fruits and the tannins in balance. Give this wine at least 10 years in the cellar.",95,398.0,Bordeaux,Roger Voss,Château la Fleur-Pétrus 2010  Pomerol,Bordeaux-style Red Blend,Château la Fleur-Pétrus
6444,France,"This is a big and smoky wine that's very concentrated. It shows both the power and the structure of the vintage, as well as balances fresh, fragrant fruit. Dry tannins and the dusty texture are finely integrated into a wine that layers wood, intense acidity and great long-term potential.",95,130.0,Bordeaux,Roger Voss,Vieux Château Mazerat 2010  Saint-Émilion,Bordeaux-style Red Blend,Vieux Château Mazerat
6447,France,"Austere and severe, this single-vineyard wine is very much a product of its limestone terroir. It has a mineral intensity that pushes through the tannins and black currant fruit, giving a powerful, dark character. Firm and structured, this is a wine for the long term.",94,200.0,Bordeaux,Roger Voss,Les Astéries 2010  Saint-Émilion,Bordeaux-style Red Blend,Les Astéries
6451,US,"Using Grenache sourced from the moderately cool Lonesome Springs Vineyard, this is slightly leafy, with notes of forest floor, blueberry and blackberry. This is the first pure Grenache ever made by Brian Carter. It doesn't just taste like a big bowl of berries; it has power and depth to spare.",91,50.0,Washington,Paul Gregutt,Brian Carter Cellars 2010 1 Grenache (Columbia Valley (WA)),Grenache,Brian Carter Cellars
6453,France,"With that extra concentration that comes from low-yielding old vines, this has great depth of flavor. It has an apple flavor and crisp, citrusy acidity as well as a more toasty character. Complex and certainly ageworthy, this should keep for at least five years.",91,54.0,Burgundy,Roger Voss,Pascal Bouchard 2010 Les Vieilles Vignes Montmains Premier Cru  (Chablis),Chardonnay,Pascal Bouchard
6455,US,"Though quite different stylistically from the 2009, this is just as good. The structure in 2010 is noteworthy for its high acid focus. There are streaks of berry and cassis, with touches of smoke and espresso. This is a wine to cellar while you are drinking up the delicious 2009.",91,40.0,Washington,Paul Gregutt,Sleight of Hand 2010 Levitation Syrah (Columbia Valley (WA)),Syrah,Sleight of Hand
6456,US,"It's rare that domestic Chardonnay is truly Chablis-like, but this delicately framed wine fits that description perfectly. Nuanced with mineral and spice notes, this has melon and apple flavors that seem to sail on a gentle sea breeze. It doesn't slam you with oak, instead it seduces with you style.",91,28.0,Washington,Paul Gregutt,Sleight of Hand 2010 The Enchantress Old Vine Chardonnay (Yakima Valley),Chardonnay,Sleight of Hand
6457,US,"Sourced from a small vineyard in the The Rocks of Walla Walla, this shows classic, terroir-driven umami flavors. It's as if the fruit were soaked in seaweed, then lifted on a platform of rock. It has lovely aromatics, with a rather delicate finish that's nuanced with cherry and tar.",91,60.0,Washington,Paul Gregutt,Sleight of Hand 2010 The Funkadelic Syrah (Walla Walla Valley (WA)),Syrah,Sleight of Hand
6459,France,"Deliciously perfumed, this shows some of the structure of the vintage, along with generous raspberry and red cherry flavors. It is rich and solid, and its open character has just the right edge of dense tannins. Already approachable, but it's likely to age over several years.",91,94.0,Burgundy,Roger Voss,Domaine Heresztyn 2010 Les Millandes Premier Cru  (Morey-Saint-Denis),Pinot Noir,Domaine Heresztyn
6460,France,"Firm, concentrated and solid, this has a tight core that's surrounded by sweeter dark-plum fruit. This is ripe and full bodied, with a definite need for aging.",91,52.0,Burgundy,Roger Voss,Domaine Vincent Girardin 2010 Santenots Premier Cru  (Volnay),Pinot Noir,Domaine Vincent Girardin
6461,US,"This shows the textural depth of all the Efesté wines. A floral top note gives way to firm, dark, cassis and blackberry flavors. Light notes of herb, anise and earth are introduced and set comfortably into the lengthy finish. It has great power and flavor, with the possibility of cellaring for a decade or more.",91,27.0,Washington,Paul Gregutt,Efeste 2009 Final-Final Cabernet Sauvignon-Syrah (Columbia Valley (WA)),Cabernet Sauvignon-Syrah,Efeste
6462,US,"Mostly Syrah, with some Cabernet Sauvignon, this is a succulent rosé with a marvelous mouthfeel. Texture and length are its main charms, with nuanced notes of rose petal, hibiscus, watermelon and pie cherry. The vineyard sources are Klipsun, Boushey and Ciel du Cheval.",91,20.0,Washington,Paul Gregutt,Efeste 2011 Babbitt Rosé (Columbia Valley (WA)),Rosé,Efeste
6464,Spain,"After a waxy opening, the bouquet unveils honey and peach aromas that are totally inviting. It feels thick but not cloying, and the honeyed flavors of banana, peach and dulce de leche are a prelude to the creamy, thick and deeply layered finish. Chardonnay, Sauvignon Blanc and Albariño make the blend.",91,50.0,Spain Other,Michael Schachner,D.G. Viticultors NV Caligo Sweet White Wine White (Spain),White Blend,D.G. Viticultors
6465,Canada,"Gorgeously aromatic with notes of freshly pressed apple, wildflower honey and tangerine peel, this is a richly textured, almost creamy, ice wine. Intense flavors of honey and fresh apple ripple on the palate, with striking lemon acidity that lends a squeaky clean finish.",91,80.0,Ontario,Anna Lee C. Iijima,Inniskillin 2008 Ice Wine Riesling (Niagara Peninsula),Riesling,Inniskillin
6467,US,"Still tight and chewy, this lushly-fruited Syrah mixes berry and cherry flavors with earthier, mineral-driven bass notes. It will require a bit more bottle age to unwind and decompress, but it has all of the ingredients of a wine with staying power.",91,48.0,Washington,Paul Gregutt,Mark Ryan 2009 Wild Eyed Syrah (Red Mountain),Syrah,Mark Ryan
6468,France,"This is very structured and full, with a powerful minerality, citrus and spice flavors, and a tight, nervy character. It has the weight to age for 3–4 years.",91,56.0,Burgundy,Roger Voss,Joseph Drouhin 2010  Chassagne-Montrachet,Chardonnay,Joseph Drouhin
6470,France,"Big and fruity, this is very lively, balancing butteriness with green-fruit acidity. The wine is maturing quickly, its tension is fading into rich, wood-flavored fruitiness.",91,70.0,Burgundy,Roger Voss,Louis Latour 2010 Meursault Blagny Premier Cru  (Meursault),Chardonnay,Louis Latour
6473,US,"This mixes blueberry, boysenberry and blackberry notes with a dressing of Bourbon and chocolate. Smooth and satiny, this is drinking exceptionally well at the moment.",91,40.0,Washington,Paul Gregutt,Sleight of Hand 2009 Levitation Syrah (Columbia Valley (WA)),Syrah,Sleight of Hand
6474,US,"A great vintage for the Sundance Red, this is 43% Cabernet Sauvignon, 25% Merlot, 18% Cabernet Franc and 14% Syrah. The addition of Syrah really livens up the mix. It's a supple, sappy, sinuous red, with rich and complex cherry and berry fruits. The 30% new oak is not only lavish for a $20 wine, but it judiciously complements all of the good fruit.",91,20.0,Washington,Paul Gregutt,Soos Creek 2009 Sundance Red (Columbia Valley (WA)),Red Blend,Soos Creek
6476,US,"Using grapes sourced entirely from Boushey Vineyard, this well-structured Syrah has a claret-like refinement. Sleek and focused, it offers raspberry and black cherry flavors, with a tight, taut structure and length. Some notes of leaf and earth trickle onto the finish.",91,45.0,Washington,Paul Gregutt,Avennia 2010 Arnaut Syrah (Yakima Valley),Syrah,Avennia
6477,France,"The minerality is a reminder that the grapes come from an area near Chablis. It has a tangy, zingy character, with a nervy edge that promises aging, but it also provides fruity, apple-driven pleasure now.",91,30.0,Burgundy,Roger Voss,Bailly-Lapierre 2007 Vive-la-Joie Brut  (Crémant de Bourgogne),Champagne Blend,Bailly-Lapierre
6480,Portugal,"This is a soft, bland wine, with light fruit flavors, a creamy texture and a final tang of lemon zest. Drink now.",83,10.0,Alentejano,Roger Voss,Parras Wines 2014 Terra Grande Branco White (Alentejano),Portuguese White,Parras Wines
6481,Portugal,"This wine has too much wood, with high toast and spice. The fruit is dominated by this wood that is not likely to soften.",83,25.0,Douro,Roger Voss,Lavradores de Feitoria 2014 Meruge Red (Douro),Portuguese Red,Lavradores de Feitoria
6482,Argentina,"Aromas of oak and orange peel include a strong whiff of clove. This is creamy and resiny in feel, while oaky flavors—clove in particular—sit on top of red-fruit notes. Dry barrel-related flavors are hot on the finish.",83,17.0,Mendoza Province,Michael Schachner,Altocedro 2015 Año Cero Pinot Noir (La Consulta),Pinot Noir,Altocedro
6483,US,"A cuvée of Riesling, with a tiny splash of Moscato, this is on the sweet side of brut. Scents of wet paper carry into disjointed flavors of waxy lemon and simple sugar.",83,25.0,Oregon,Paul Gregutt,Wetzel Estate NV Cuvée Blanc Sparkling (Willamette Valley),Sparkling Blend,Wetzel Estate
6484,Italy,"This extremely simple red has aromas recalling dark-skinned fruit and leather. The lean diluted palate shows suggestions of sour cherry, dried plum and a hint of dark spice alongside fleeting tannins.",83,11.0,Central Italy,Kerin O’Keefe,Montefrasco 2015 Montefresco  (Montepulciano d'Abruzzo),Montepulciano,Montefrasco
6485,US,"A gluey aroma follows through, cloaking simple, sour flavors of lemon tea in its wake. There is an off flavor in the finish that doesn't subside.",83,15.0,Oregon,Paul Gregutt,Château Bianca 2015 Riesling (Willamette Valley),Riesling,Château Bianca
6486,Portugal,This wine has a geranium aroma and a strangely perfumed character. It is light and fruity although not likely to develop much.,83,20.0,Douro,Roger Voss,Quinta do Romeu 2011 Red (Douro),Portuguese Red,Quinta do Romeu
6487,US,"This wine of unknown grape varieties shows a thread of sweet cola and vanilla throughout a larger tunnel of smoky char, remaining somewhat flat, bitter and simple on the palate.",83,15.0,California,Virginie Boone,Sonoma Collection 2014 District 3 Red (Sonoma County),Red Blend,Sonoma Collection
6488,Spain,"Charred, malty, foxy, herbal aromas sound the alarm. This Garnacha-Carignan blend is rough as sandpaper, with heavily oaked flavors of herbaceous black fruits. A rough and rugged finish is abrasive.",83,18.0,Catalonia,Michael Schachner,Zerran 2014 Red (Montsant),Red Blend,Zerran
6489,US,"This dull, tired wine is quickly moving past drinkability. Flat and lifeless, it hints at leather and little else.",82,35.0,Oregon,Paul Gregutt,Wetzel Estate 2012 Estate Reserve Pinot Noir (Willamette Valley),Pinot Noir,Wetzel Estate
6490,US,"Syrupy and with a distinct taste of raisins, this 100% varietal wine is overdone in terms of ripeness, with a lack of structure. The highlight is its tight hold on black pepper.",82,40.0,California,Virginie Boone,Meeker 2012 Petite Sirah (Dry Creek Valley),Petite Sirah,Meeker
